Job Title,Company Name,Experience (In Years),Experience Category,Industry,City,State,Country,Source
Big Data Developer,LION & ELEPHANTS,3.0,Junior,Data Science / Analytics,Kolhapur,Maharashtra,India,Talent
Big Data Consultant,Impetus,3.0,Junior,Data Science / Analytics,Noida,Uttar Pradesh,India,Talent
Big Data Developer,HCLTech,3.0,Junior,Data Science / Analytics,,,India,Talent
Big Data Developer,Hrizen Techno Services,3.0,Junior,Data Science / Analytics,Chennai,Tamil Nadu,India,Talent
Big Data Developer,Agile Technology Solutions - Your Technology Partner,3.0,Junior,Data Science / Analytics,Pune,Maharashtra,India,Talent
Big Data Architect,Quick Heal,7.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,Talent
Big Data engineer,Tata Consultancy Services,3.0,Junior,Data Science / Analytics,,,India,Talent
Big Data Developer,MethodHub,3.0,Junior,Data Science / Analytics,Hyderabad,Telangana,India,Talent
Big Data Developer,Risk Resources,3.0,Junior,Data Science / Analytics,Chennai,Tamil Nadu,India,Talent
Big Data Specialist,Cybage Software,6.5,Senior,Data Science / Analytics,Pune,Maharashtra,India,Talent
Big Data Consultant,Synechron,3.0,Junior,Data Science / Analytics,,,India,Talent
Big Data Engineer,Nagarro,3.0,Junior,Data Science / Analytics,Noida,Uttar Pradesh,India,Talent
Big Data Developer -,Prakhar Software Solutions Private Limited,3.0,Junior,Data Science / Analytics,Bengaluru,Karnataka,India,Talent
Big Data Lead,Recro,5.5,Mid-Level,Data Science / Analytics,Pune,Maharashtra,India,Talent
Hadoop Administrator - Cluster Management,TechnoRight,6.5,Senior,Management,Delhi,Delhi,India,Talent
Big Data Engineer - Spark / Hadoop,Huntsmen & Barons,3.0,Junior,Data Science / Analytics,Delhi,Delhi,India,Talent
Ab Initio Senior Developer DEL,Exusia,5.5,Mid-Level,Software Development,Delhi,Delhi,India,Talent
Software Engineer - Java / Spring Developer,Mindfire Solutions,3.0,Junior,Software Development,Delhi,Delhi,India,Talent
Big Data / Java Developer - Spark / Hadoop,Quesscrop,3.0,Junior,Data Science / Analytics,Delhi,Delhi,India,Talent
GCP Big Data Engineer,LTIMindtree,3.0,Junior,Cloud,New Delhi,Delhi,India,Talent
GCP Big Data Engineer,LTIMindtree,3.0,Junior,Cloud,Delhi,Delhi,India,Talent
"Jobs For Database Administrator -Reputed IT Industry -Delhi NCR, India -15 LPA -Preeti",Seven Consultancy,6.5,Senior,Data Science / Analytics,Delhi,Delhi,India,Talent
"Jobs For Database Administrator -Reputed IT Industry -Delhi NCR, India -15 LPA -Preeti",Seven Consultancy,6.5,Senior,Data Science / Analytics,Delhi,Delhi,India,Talent
Data Wrangling,Overture Rede,3.0,Junior,Data Science / Analytics,Delhi,Delhi,India,Talent
Data Wrangling,Overture Rede,3.0,Junior,Data Science / Analytics,Delhi,Delhi,India,Talent
Data Architect - Python / Informatica,Coders Brain Technology Private Limited,7.5,Senior,Data Science / Analytics,Delhi,Delhi,India,Talent
AI Developer,JK Tech World,3.0,Junior,Artificial Intelligence / Machine Learning,New Delhi,Delhi,India,Talent
AI Developer,JK Tech World,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
Data Engineer - R / ETL / Python,Unlock Business Consulting,3.0,Junior,Data Science / Analytics,Delhi,Delhi,India,Talent
AI / ML Data Scientist,Peoplelogic Business,6.5,Senior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI / ML Data Scientist,Peoplelogic Business,6.5,Senior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
Presales Solution Architect - Big Data / Cloud,Quadrangle,7.5,Senior,Cloud,Delhi,Delhi,India,Talent
Senior PySpark Developer,Victrix Systems & Labs,5.5,Mid-Level,Software Development,Delhi,Delhi,India,Talent
Gen AI Architect,IGT Solutions,7.5,Senior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
Senior BigData Developer_ Remote India,Luxoft,5.5,Mid-Level,Data Science / Analytics,Delhi,Delhi,India,Talent
Kloud9 - Senior Data Engineer - Google Cloud Platform,Retail Kloud9 Technologies India Private Limited,5.5,Mid-Level,Cloud,Delhi,Delhi,India,Talent
Technical Project Manager,Beroe Inc,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Project Manager,myGwork,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Project Manager,Recro,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Project Manager,TTK Services Private Limited,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Services Manager,GenScript,17.5,Executive,Management,Bengaluru,Karnataka,India,Talent
Technical support manager,JA Solar,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Project Manager,Ubique Systems,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Project Manager,Randstad Enterprise,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Project Manager,ScaleneWorks,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Program Manager,Anumana,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Project Manager,ACL Digital,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Product Manager,ZeroFox,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Project Manager,PhonePe,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Account Manager,Trigent Software Private Limited,8.0,Senior,Management,,,India,Talent
Technical Program Manager,Ajmera Infotech Inc.,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Account Manager,Karix,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Project Manager,Deluxe,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Technical Project Manager,Pyxidia Techlab LLP,8.0,Senior,Management,Bengaluru,Karnataka,India,Talent
Generative AI Engineer,The Syntra,3.0,Junior,Artificial Intelligence / Machine Learning,New Delhi,Delhi,India,Talent
Generative AI Engineer,The Syntra,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI Solution Architect,Heyu / Talent Corner HR Services Pvt Ltd,7.5,Senior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI Trainer,SSTech LLC,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
Voiceplug - AI Chatbot Developer - Conversational AI,Voiceplug Inc,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
Generative AI Engineer,StartUs Insights,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI Agent Engineer,GROW10X,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI Engineer,Astra Security,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
Generative AI Engineer,Xebia,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI Automation Specialist,Particle Execution,6.5,Senior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI Trainers required,EducoHire,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI Engineer - Remote,Aplus Careers,3.0,Junior,Artificial Intelligence / Machine Learning,New Delhi,Delhi,India,Talent
AI Engineer - Remote,Aplus Careers,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI Developer,r3 Consultant,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
Generative AI LLM Engineer (AI / ML),Qubrid AI,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI / ML Engineer( Gen AI Developer),Daixta,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
Project Manager – AI,Wadhwani Foundation,8.0,Senior,Management,Delhi,Delhi,India,Talent
AI / ML Developer,Tata Consultancy Services,3.0,Junior,Artificial Intelligence / Machine Learning,New Delhi,Delhi,India,Talent
AI / ML Developer,Tata Consultancy Services,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI Developers,GovConPros Inc,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI Engineer,Zone IT Solutions,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
Generative AI Developer,Premier Consultants,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
AI / ML Engineer,Cancard Inc.,3.0,Junior,Artificial Intelligence / Machine Learning,Delhi,Delhi,India,Talent
PySpark Developers,LTIMindtree,3.0,Junior,Software Development,Chennai,Tamil Nadu,India,Talent
Pyspark Architect,Saaki Argus & Averil Consulting,7.5,Senior,Software Development,,,India,Talent
Pyspark Architect,Talent Worx,7.5,Senior,Software Development,Bengaluru,Karnataka,India,Talent
Pyspark developer,Randstad India,3.0,Junior,Software Development,Hyderabad,Telangana,India,Talent
PySpark Technical Lead,Sopra Steria,5.5,Mid-Level,Information Technology,Chennai,Tamil Nadu,India,Talent
PySpark Developer,Corporate Resources,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Senior PySpark Developer,Victrix Systems & Labs,5.5,Mid-Level,Software Development,Delhi,Delhi,India,Talent
Python Developer - PySpark,Evoke HR Solutions,3.0,Junior,Software Development,Mumbai,Maharashtra,India,Talent
"Hadoop , Pyspark Developer",Allime Tech Solutions Private Limited,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
PySpark Developer,Risk Resources LLP,3.0,Junior,Software Development,Kolkata,West Bengal,India,Talent
Senior - PySpark,KPMG India,5.5,Mid-Level,Other,Gurgaon,Haryana,India,Talent
Pyspark Developer,Tata Consultancy Services,3.0,Junior,Software Development,,,India,Talent
Pyspark Developer,DATAECONOMY,3.0,Junior,Software Development,Pune,Maharashtra,India,Talent
Data Engineer - PySpark,NexionPro,3.0,Junior,Data Science / Analytics,Delhi,Delhi,India,Talent
Pyspark Developer,Wipro,3.0,Junior,Software Development,Chennai,Tamil Nadu,India,Talent
Java Backend Engineer,Tranzeal Incorporated,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Backend Engineer - Java,Live Connections placements Pvt Ltd,3.0,Junior,Software Development,,,India,Talent
Java backend Developer,Zone IT Solutions,3.0,Junior,Software Development,Gurgaon,Haryana,India,Talent
Java Backend Developer,N Consulting Ltd,3.0,Junior,Software Development,pune,Maharashtra,India,Talent
Java Backend Developer,Worldline,3.0,Junior,Software Development,Pune,Maharashtra,India,Talent
Java Backend Lead,Coforge,5.5,Mid-Level,Software Development,Bengaluru,Karnataka,India,Talent
Java BackEnd Lead,Axiom Software Solutions Limited,5.5,Mid-Level,Software Development,Bengaluru,Karnataka,India,Talent
Backend Developer - Java,DATAART TECHNOLOGIES INDIA PRIVATE LIMITED,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Backend Java,Redian Software Global,3.0,Junior,Software Development,Gurgaon,Haryana,India,Talent
Java Backend Developer,Anlage Infotech (India) P Ltd,3.0,Junior,Software Development,Aurangabad,Bihar,India,Talent
Java Backend Developer,Smarsh,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Java Backend developer,Stackave Solutions,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
JAVA Backend LeadArchitect,TalentOla,7.5,Senior,Software Development,Bengaluru,Karnataka,India,Talent
Java Backend Developer,Amantya Technologies,3.0,Junior,Software Development,Gurgaon,Haryana,India,Talent
Java Backend,myGwork,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Java Backend Engineer,Aditi India,3.0,Junior,Software Development,Pune,Maharashtra,India,Talent
Java Backend Engineer,Birdeye,3.0,Junior,Software Development,,,India,Talent
Backend Lead,Proclink,5.5,Mid-Level,Software Development,Hyderabad,Telangana,India,Talent
Backend Engineer,preferable.ai,3.0,Junior,Software Development,Pune,Maharashtra,India,Talent
SDE3 Backend,Weekday AI,3.0,Junior,Software Development,Chennai,Tamil Nadu,India,Talent
Backend Lead,"GSPANN Technologies, Inc",5.5,Mid-Level,Software Development,Bengaluru,Karnataka,India,Talent
Backend Engineer,KeyValue Software Systems,3.0,Junior,Software Development,Kochi,Kerala,India,Talent
Backend Engineer,Kounsel,3.0,Junior,Software Development,Hyderabad,Telangana,India,Talent
Backend Architect,Acme Services Private Limited,7.5,Senior,Software Development,Pune,Maharashtra,India,Talent
Backend Developer,Battlebucks,3.0,Junior,Software Development,,,India,Talent
Backend Developer,alle,3.0,Junior,Software Development,,,India,Talent
Backend Developer,CloudHire,3.0,Junior,Software Development,Mumbai,Maharashtra,India,Talent
Backend Engineer,hotsourced,3.0,Junior,Software Development,Mangalore,Karnataka,India,Talent
Backend Developer,Seamless Fintech Innovations Pvt Ltd,3.0,Junior,Software Development,Gurgaon,Haryana,India,Talent
Backend Developer,MTAB Technology Center P Ltd,3.0,Junior,Software Development,Chennai,Tamil Nadu,India,Talent
Backend Java,Redian Software Global,3.0,Junior,Software Development,gurgaon,Haryana,India,Talent
Backend Engineer,Grow Your Staff,3.0,Junior,Software Development,Mumbai,Maharashtra,India,Talent
Backend Engineer,StockGro,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Backend Engineer,Celstream Technologies,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Backend Engineer,TabSquare.AI,3.0,Junior,Software Development,Kollam,Kerala,India,Talent
Backend Engineer,"LotusFlare, Inc.",3.0,Junior,Software Development,Pune,Maharashtra,India,Talent
Backend Developer,TLC Worldwide,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Azure Developer,CohnReznick,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
.Net Developer - Azure Cloud,XHire.One,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
Senior Full Stack Java Developer with Azure,Datum Technologies Group,5.5,Mid-Level,Cloud,Mumbai,Maharashtra,India,Talent
.NET Full Stack (.NET Core and React with Azure),Antal International,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
Azure Developer,MSRcosmos LLC,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
Freelancer - Azure Cloud Developer,Norconsulting Global Recruitment,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
Microsoft Developer,TotalEnergies,3.0,Junior,Software Development,Mumbai,Maharashtra,India,Talent
Azure Cloud Developer - Full remote - contractor in USD,All European Careers,21.5,Executive,Cloud,Mumbai,Maharashtra,India,Talent
Dot NET Azure L2 / L3 Support-( Hybrid-Bangalore),DigiHelic Solutions Pvt. Ltd.,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
Azure Cloud Developer - Data Factory,Talpro,21.5,Executive,Cloud,Mumbai,Maharashtra,India,Talent
TCS Hiring for Elasticsearch Developer,Tata Consultancy Services,3.0,Junior,Software Development,Mumbai,Maharashtra,India,Talent
.Net 6 Developer with Azure,Oracle,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
Senior Dotnet Developer,IT Global,5.5,Mid-Level,Software Development,Mumbai,Maharashtra,India,Talent
.NET and Azure API Developer,Luxoft,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
".NET Developer (Angular / React, Azure)",Funic Tech,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
Azure Application developer,Anicalls (Pty) Ltd,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
Azure Backend Developer,Zones,3.0,Junior,Cloud,,,India,Talent
Django Developer with AWS / Azure Cloud Deployment Experience,Daixta,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
Azure Admin,ScaleneWorks,3.0,Junior,Cloud,Mumbai,Maharashtra,India,Talent
Python Developer,GREATBELL HR Consultancy Services PVT LTD,3.0,Junior,Software Development,,,India,Talent
Python Developer,Recro,3.0,Junior,Software Development,Coimbatore,Tamil Nadu,India,Talent
Python Developer,"Astir IT Solutions, Inc.",3.0,Junior,Software Development,Pune,Maharashtra,India,Talent
Python Developer,Grey Chain,3.0,Junior,Software Development,Gurgaon,Haryana,India,Talent
Python Developer,Hays,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Python Developer,Delta Velocity,3.0,Junior,Software Development,Gurgaon,Haryana,India,Talent
Python Developer,EMB Global,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Python Developer,DeepVox AI,3.0,Junior,Software Development,Hyderabad,Telangana,India,Talent
Python Developer,GoldenHire Consultancy,3.0,Junior,Software Development,Delhi,Delhi,India,Talent
Python Developer,Aspect Software,3.0,Junior,Software Development,Kurnool,Andhra Pradesh,India,Talent
Python Developer,myGwork,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Python Developer,Pi Square Technologies,3.0,Junior,Software Development,Anantapur,Andhra Pradesh,India,Talent
Python Developer,Infosys,3.0,Junior,Software Development,,,India,Talent
Python Developer,SS&C Technologies,3.0,Junior,Software Development,Coimbatore,Tamil Nadu,India,Talent
Python Developer,Synechron,3.0,Junior,Software Development,,,India,Talent
Python Developer,Awign Expert,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Python Developer,Exult Global,3.0,Junior,Software Development,Anand,Gujarat,India,Talent
Python Developer,ESDS Software Solution Limited,3.0,Junior,Software Development,Nashik,Maharashtra,India,Talent
Python Developer,Servion Global Solutions,3.0,Junior,Software Development,Bikaner,Rajasthan,India,Talent
Python Developer,HCLTech,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Web Developer,Outlier,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
Web Intelligence Analyst,S2T AI - AI-Powered Investigations,3.5,Mid-Level,Other,Delhi,Delhi,India,Talent
Web Developer,MNR University,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
Lead Web Developer,Lights Out Studio,5.5,Mid-Level,Web Development,Delhi,Delhi,India,Talent
Web Analytics Specialist,NETM CORPORATE SOLUTIONS PRIVATE LIMITED,6.5,Senior,Data Science / Analytics,Delhi,Delhi,India,Talent
Laravel Web Developer,DeepSpace9 Technologies,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
Web Developer,Rooter.gg,3.0,Junior,Web Development,New Delhi,Delhi,India,Talent
Web Developer,Rooter.gg,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
System Administrator,MGT-COMMERCE GmbH,6.5,Senior,Other,Delhi,Delhi,India,Talent
Funnel / Web Designer,AuthorityZen,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
Web Developer,Bridging Points Media Pvt. Ltd.,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
Gmware - Senior Python Engineer - Web Scraping & Crawling,GM WARE,5.5,Mid-Level,Software Development,Delhi,Delhi,India,Talent
Web Developer,Quorian,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
ADSK8215-Software Developer III - INR,ACCELON PREMIERE CONSULTANTS PRIVATE LIMITED,3.0,Junior,Software Development,Delhi,Delhi,India,Talent
ADSK8215-Software Developer III - INR,ACCELON PREMIERE CONSULTANTS PRIVATE LIMITED,3.0,Junior,Software Development,Delhi,Delhi,India,Talent
Web Application Developer,Vervent,3.0,Junior,Software Development,Delhi,Delhi,India,Talent
Web Developer,Battersea Corporate,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
Web Developer,Battersea Corporate,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
Web Developer,Xraised,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
Web Developer,EssentiallySports,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
Software Trainee / Web developers / Web,Guidance Placement,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
Software Trainee / Web developers / Web,Guidance Placement,3.0,Junior,Web Development,Delhi,Delhi,India,Talent
WEB DESGINER,KK SERVICES,3.0,Junior,Other,Delhi,Delhi,India,Talent
WEB DESGINER,KK SERVICES,3.0,Junior,Other,Delhi,Delhi,India,Talent
Full stack Developer,Tata Consultancy Services,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Full Stack Developer,Future-Able,3.0,Junior,Software Development,Davanagere,Karnataka,India,Talent
Full Stack Developer,TheThreeAcross,3.0,Junior,Software Development,Noida,Uttar Pradesh,India,Talent
Full Stack Developer,Outlier,3.0,Junior,Software Development,Nashik,Maharashtra,India,Talent
Full Stack Developer,8 Views,3.0,Junior,Software Development,Hyderabad,Telangana,India,Talent
Full Stack Developer,DGTALISTS,3.0,Junior,Software Development,Kolkata,West Bengal,India,Talent
Full Stack Developer,Ccube,3.0,Junior,Software Development,Indore,Madhya Pradesh,India,Talent
Full Stack Developer,Luxoft,3.0,Junior,Software Development,Pune,Maharashtra,India,Talent
Full Stack Developer,MAVIP Group,3.0,Junior,Software Development,Indore,Madhya Pradesh,India,Talent
Full Stack Developer,Consulitng,3.0,Junior,Software Development,Hyderabad,Telangana,India,Talent
Full Stack Developer,Midpath,3.0,Junior,Software Development,Delhi,Delhi,India,Talent
Full Stack Developer,Evertreen,3.0,Junior,Software Development,Thiruvananthapuram,Kerala,India,Talent
Full Stack Developer,Ecoffset,3.0,Junior,Software Development,Visakhapatnam,Andhra Pradesh,India,Talent
Full Stack Developer,Excellence and Eminence LLP,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Full-stack Developer,Techanic Infotech,3.0,Junior,Software Development,,,India,Talent
Full Stack Developer,Persistent Systems,3.0,Junior,Software Development,Pune,Maharashtra,India,Talent
Full stack Developer,Quorian,3.0,Junior,Software Development,Mangalore,Karnataka,India,Talent
Full Stack Developer,Overture Rede,3.0,Junior,Software Development,Indore,Madhya Pradesh,India,Talent
Full-stack Developer,Revealer Global Solutions,3.0,Junior,Software Development,Madurai,Tamil Nadu,India,Talent
Program Manager,Insightzz,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Regional Manager,Livlong 365,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Manager Compliance,Skywings Advisors Pvt. Ltd.,8.0,Senior,Management,,,India,Talent
Manager,Lifelancer,8.0,Senior,Management,,,India,Talent
Risk Analytics - Assistant Manager / Manager,bluCognition,8.0,Senior,Data Science / Analytics,Pune,Maharashtra,India,Talent
BD manager / Account manager- Qualtrics,dentsu,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Manager,EXL,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Cognitud - Manager / Senior Manager - MarTech,Cognitud Advisory Services Private Limited,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Manager / Senior Manager – Indirect Tax,FirstCry.com (BrainBees Solutions Ltd.),8.0,Senior,Management,Pune,Maharashtra,India,Talent
Senior Design Manager / Design Manager,"Helpshift, a Keywords Technology",8.0,Senior,Management,Pune,Maharashtra,India,Talent
Project Manager,myGwork,8.0,Senior,Management,,,India,Talent
Delivery Manager,Zensar Technologies,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Manager / Assistant Manager – Decarbonization,TÜV SÜD,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Program Manager,Authentica,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Project Manager,PayNways Worldwide,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Recruitment Manager,Credence Global Solutions,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Technical Manager,AceNet,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Program Manager,JCB India Ltd.,8.0,Senior,Management,Pune,Maharashtra,India,Talent
Cloud Architect,IDFC FIRST Bank,7.5,Senior,Cloud,Mumbai,Maharashtra,India,Talent
Cloud Engineer - Google Cloud Platform,Idyllic Services Pvt. Ltd.,3.0,Junior,Cloud,Bengaluru,Karnataka,India,Talent
Cloud Architect,Madhees,7.5,Senior,Cloud,Hyderabad,Telangana,India,Talent
Cloud Administrator,LTIMindtree,6.5,Senior,Cloud,Bengaluru,Karnataka,India,Talent
Cloud DBA,Luxoft,3.0,Junior,Cloud,Kolkata,West Bengal,India,Talent
Cloud Architect,Eximietas Design,7.5,Senior,Cloud,Bengaluru,Karnataka,India,Talent
Cloud Architect - Google Cloud Platform,TECH PROJECTS INDIA PRIVATE LIMITED,7.5,Senior,Cloud,Hyderabad,Telangana,India,Talent
Cloud Engineer,NexionPro Services,3.0,Junior,Cloud,,,India,Talent
Cloud Devops,Tata Consultancy Services,3.0,Junior,Cloud,Hyderabad,Telangana,India,Talent
Cloud Engineer,VSquare Systems Pvt. Ltd.,3.0,Junior,Cloud,Pune,Maharashtra,India,Talent
Cloud Lead,ScaleneWorks,5.5,Mid-Level,Cloud,Chennai,Tamil Nadu,India,Talent
Cloud Architect,ITC Limited,7.5,Senior,Cloud,Mumbai,Maharashtra,India,Talent
Senior Cloud Engineer / Cloud Architect,Invincible Ocean | InvincibleMeta.AI,7.5,Senior,Cloud,Gurgaon,Haryana,India,Talent
Oracle CPQ Cloud - Cloud Manager,myGwork,8.0,Senior,Cloud,Bengaluru,Karnataka,India,Talent
Cloud Engineer - Google Cloud Platform,Talent Socio,3.0,Junior,Cloud,Jaipur,Rajasthan,India,Talent
Cloud Engineer,Recro,3.0,Junior,Cloud,Kolhapur,Maharashtra,India,Talent
Cloud Engineer,Deltek,3.0,Junior,Cloud,,,,Talent
Cloud Engineer,Accolite,3.0,Junior,Cloud,Bengaluru,Karnataka,India,Talent
Cloud Architect,Impetus Career Consultants,7.5,Senior,Cloud,mumbai,Maharashtra,India,Talent
PL / SQL Developer - Core Banking,Oracle,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Senior Oracle Apps Finance Functional,ORACLE,5.5,Mid-Level,Finance,,,India,Talent
PL / SQL Developer - Core Banking,Oracle,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
PL / SQL Developer-Core Banking,ORACLE,3.0,Junior,Software Development,,,India,Talent
Senior Consultant- Cognos with SQL server,ORACLE,5.5,Mid-Level,Consulting,,,India,Talent
PL / SQL Flexcube Developer,Oracle,3.0,Junior,Software Development,,,India,Talent
PL / SQL Flexcube Developer,Oracle,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Senior Engineer : Java / J2ee REST SQL Product Development,ORACLE,5.5,Mid-Level,Software Development,,,India,Talent
Software Developer (PL / SQL),ORACLE,3.0,Junior,Software Development,,,India,Talent
"Principal Performance Engineer (DB, Golden Gate, SQL)",Oracle,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
Senior Database Developer,ORACLE,5.5,Mid-Level,Data Science / Analytics,,,India,Talent
PL / SQL Flexcube Developer,Oracle,3.0,Junior,Software Development,Bengaluru,Karnataka,India,Talent
PL / SQL Developer - Core Banking,Oracle,3.0,Junior,Software Development,,,India,Talent
Java - PL / SQL Developer,Oracle,3.0,Junior,Software Development,,,India,Talent
Senior Consultant - PL / SQL Core Banking,ORACLE,5.5,Mid-Level,Consulting,,,India,Talent
Application Support Specialist,Oracle,6.5,Senior,Other,,,India,Talent
ODI Developer / Lead,ORACLE,5.5,Mid-Level,Software Development,,,India,Talent
Senior Java J2ee Developer with (MS SQL Angular),ORACLE,5.5,Mid-Level,Software Development,,,India,Talent
"Senior Member of Technical Staff (PL / SQL, CCL)",ORACLE,5.5,Mid-Level,Information Technology,,,India,Talent
UI Automation Testing,ValueLabs,3.0,Junior,Quality Assurance / Testing,Hyderabad,Telangana,India,Talent
Automation Testing Intern,Arcot Group,0.0,Entry,Quality Assurance / Testing,Mumbai,Maharashtra,India,Talent
Python Automation Testing,Talent Worx,3.0,Junior,Quality Assurance / Testing,Bengaluru,Karnataka,India,Talent
Salesforce Automation Testing,Pi Square Technologies,3.0,Junior,Quality Assurance / Testing,Bengaluru,Karnataka,India,Talent
ETL Automation Testing,Coforge,3.0,Junior,Data Science / Analytics,Aligarh,Uttar Pradesh,India,Talent
Automation Testing Analyst,ADV Tech Consultancy,3.5,Mid-Level,Quality Assurance / Testing,Gurgaon,Haryana,India,Talent
